stop_id,stop_code,stop_name,stop_lat,stop_lon
902631,9016,N MAIN ST @ 301,34.08386,-84.294755
900005,9020,N MAIN ST @ PINE GROVE DR,34.082292,-84.294607
900006,9025,N MAIN ST @ MAYFIELD RD,34.080401,-84.29444
900018,9030,N MAIN ST @ CUMMING ST,34.078152,-84.294291
900007,9031,N MAIN ST @ ACADEMY ST,34.076201,-84.294288
900008,9034,N MAIN ST @ VAUGHAN DR,34.090788,-84.292399
900010,9224,N MAIN ST @ VAUGHAN DR,34.090721,-84.293124
900011,9226,N MAIN ST @ PINE GROVE DR,34.082476,-84.295051
900012,10004,WINDWARD PKWY @ DEERFIELD PKWY ,34.08758,-84.268277
900013,10006,WINDWARD PKWY @ 5532,34.087337,-84.265132
900014,10008,WINDWARD PKWY @ NORTH POINT PKWY,34.08886,-84.2579
902838,10010,WINDWARD PKWY @ NORTH POINT PKWY,34.088603,-84.257107
902839,10040,MARTIN L KING JR DR NW @ OLLIE ST NW,33.754809,-84.421186
902840,10044,NORTH POINT PKY@900,34.08083,-84.25948
902796,10046,NORTH POINT PKY@960,34.078413,-84.260238
902797,10048,NORTH POINT PKY@300,34.08645,-84.25687
902798,10054,NORTH POINT PKY @ 960,34.078163,-84.260696
902799,10056,NORTH POINT PKY @ WEBB BRIDGE RD,34.076401,-84.260458
902902,10134,ATLANTA STUDENT MOVEMENT BLVD @ NORTHSIDE DR SW,33.748929,-84.404936
906745,10142,DEERFIELD PKWY @ MORRIS RD,34.090815,-84.27003
902976,10146,WINDWARD PKWY @ JORDAN CT,34.092278,-84.276484
902977,10148,SR 9 @ WINDWARD PKWY,34.09459,-84.277967
902978,10150,N MAIN ST @ COGBURN RD,34.092248,-84.284312
902903,10168,N MAIN ST @ 684,34.091726,-84.290431
902904,10170,N MAIN ST @ WATER OAK PL,34.091927,-84.288615
902905,10172,DEERFIELD PKWY @ MORRIS RD,34.089933,-84.269247
902979,10174,DEERFIELD PKWY @ TWO VERIZON PL,34.09337,-84.270926
902980,10176,DEERFIELD PKWY @ THREE VERIZON PL,34.09548,-84.267954
902981,10186,N MAIN ST @ WINDWARD PKY W,34.093963,-84.279531
902982,10188,OLD MILTON PKY @ BRIDGE POINTE DR,34.06256,-84.24747
903045,10212,N MAIN ST @ HENDERSON PKWY,34.092039,-84.285415
903046,10214,N MAIN ST @ CANTON ST,34.088795,-84.29524
903083,10218,OLD MILTON PKWY @ BROOKSIDE PKY,34.064694,-84.253908
903084,10220,BROOKSIDE PKWY @ 3705,34.06235,-84.2544
903085,10222,BROOKSIDE PKWY @ 3775,34.061248,-84.252481
903185,10232,OLD MILTON PKWY @ ROCKBERRY LN,34.061439,-84.244415
903186,10234,OLD MILTON PKWY @ COTTON CREEK ENTRY,34.064854,-84.253526
902637,10238,OLD MILTON PKWY @ 3502,34.066705,-84.258072
902638,10244,NORTH POINT PKY@500,34.08513,-84.25732
902639,10248,WINDWARD PKWY @ WESTSIDE PKWY,34.087517,-84.269008
903217,10250,MORRIS RD @ WEBB RD,34.096344,-84.260561
903218,10252,MORRIS RD@13010,34.094303,-84.262563
903219,10254,OLD MILTON PKWY @ PARK BRIDGE PKWY,34.06095,-84.242611
903220,10256,WINDWARD PKWY @ N MAIN ST,34.093579,-84.278328
902641,10266,WINDWARD PARK & RIDE,34.085992,-84.260559
902643,10270,MORRIS RD @ 12395,34.081,-84.261262
902644,10272,WINDWARD PKWY @ 5555,34.087024,-84.265427
902649,10274,DEERFIELD PKWY @ WEBB RD,34.097509,-84.264371
902650,10276,MORRIS RD @ ONE VERIZON PL,34.091014,-84.266497
902765,14002,ALPHARETTA HWY @ HOUZE WAY,34.046329,-84.339584
902766,14004,ALPHARETTA HWY@SUN VALLEY DR,34.049772,-84.337806
902772,14009,ALPHARETTA HWY @ ELKINS RD,34.051866,-84.334413
902773,14010,ALPHARETTA HWY@MANSELL PL,34.054226,-84.330254
902774,14012,ALPHARETTA HWY @ GREENHOUSE DR,34.055115,-84.329132
902767,14014,ALPHARETTA HWY@ROSEMONT PKY,34.058438,-84.326409
902768,14018,ALPHARETTA HWY@HEMBREE RD,34.060832,-84.324602
902769,14020,ALPHARETTA HWY@HOSPITAL BLVD,34.062747,-84.322976
902770,14022,ALPHARETTA HWY@NORTHMEADOW PKWY,34.065852,-84.31873
906278,14024,ALPHARETTA HWY@HANEY DR,34.066263,-84.316296
906279,14026,ALPHARETTA HWY@WILLS RD,34.066277,-84.313118
906281,14028,ALPHARETTA HWY@HANEY DR,34.066383,-84.316063
906295,14030,ALPHARETTA HWY @ UPPER HEMBREE RD,34.065865,-84.319
906296,14032,ALPHARETTA HWY @ HOSPITAL BLVD,34.06329,-84.322723
906312,14034,ALPHARETTA HWY @ HEMBREE RD,34.061096,-84.324554
906337,14038,ALPHARETTA HWY@11450,34.057182,-84.327896
906338,14040,ALPHARETTA HWY @ GREENHOUSE DR,34.055408,-84.329323
906339,14042,ALPHARETTA HWY@MANSELL PL,34.053848,-84.331345
906314,14046,ALPHARETTA HWY@SUN VALLEY DR,34.050059,-84.337621
906315,14048,S MAIN ST @ 571,34.066226,-84.309834
906341,15007,MAIN ST@BRADY PL,34.066297,-84.304719
906342,15008,MAIN ST@MAXWELL RD,34.067867,-84.301102
906318,15011,N MAIN ST @ CUMMING ST,34.07832,-84.294505
906320,15014,S MAIN ST @ JANIS LN,34.06975,-84.298078
903188,15018,NORTH POINT PKWY @ 6360,34.046681,-84.290142
903189,15020,NORTH POINT PKWY @ 6250,34.046985,-84.290381
902705,15022,S MAIN ST @ MAXWELL RD,34.0678,-84.301615
902706,15026,S MAIN ST @ JANIS LN,34.069839,-84.29787
902707,15028,HAYNES BRIDGE RD@11385,34.056886,-84.286369
902708,15030,HAYNES BRIDGE RD @ RAINWATER DR,34.063717,-84.291553
903190,15032,HAYNES BRIDGE RD @ DEVORE RD,34.066409,-84.292587
903191,15036,HAYNES BRIDGE RD@11770,34.068882,-84.293925
903192,15037,HAYNES BRIDGE RD @ DEVORE RD,34.066134,-84.293113
902709,15040,HAYNES BRIDGE RD @ WOODHAVEN WAY,34.063449,-84.291782
902710,15042,HAYNES BRIDGE RD @ MORRISON PKWY,34.060412,-84.289472
902711,15044,ALPHARETTA HWY @ ROSEMONT PKWY,34.058564,-84.326815
902653,15048,HAYNES BRIDGE RD @ WESTSIDE PKWY,34.061055,-84.289146
902775,15054,ACADEMY ST @ HAYNES BRIDGE RD,34.075399,-84.292976
902817,15056,HAYNES BRIDGE RD @ LAKEVIEW PKWY,34.057292,-84.28695
902820,15062,NORTH POINT PKWY @ NORTH POINT CT,34.047736,-84.288493
902776,15066,HAYNES BRIDGE RD@ROCK MILL RD,34.051601,-84.285458
902777,15068,HAYNES BRIDGE RD @ NORTHWINDS PKWY,34.058607,-84.287375
902821,15074,NORTH POINT PKY@GEORGIA LANE,34.04988,-84.283285
902822,15076,NORTH POINT PKWY @ GEORGIA LN,34.049247,-84.283975
902846,15078,HAYNES BRIDGE RD@NORTH POINT DR,34.049964,-84.285986
902847,15080,NORTH POINT PKY@ KIMBALL BRIDGE RD,34.05462,-84.274303
902780,15082,NORTH POINT PKWY @ 5055,34.054726,-84.277286
902948,15086,NORTH POINT PKWY @ MILL CREEK AVE,34.049988,-84.280963
902949,15088,NORTH POINT PKY @ NORTH POINT DR,34.050454,-84.280754
902950,15090,NORTH POINT PKY@ROCK MILL RD,34.051814,-84.279206
902951,15092,NORTH POINT PKY@ROCK MILL RD,34.051938,-84.279652
902917,16010,NORTH POINT PKY@ROYAL BLVD S,34.054603,-84.271739
902918,16016,NORTH POINT PKY @ 4000,34.065942,-84.262005
902919,16018,NORTH POINT PKY@PRESTON RIDGE RD,34.071018,-84.256571
902953,16020,NORTH POINT PKY @ 3980,34.069323,-84.260289
902954,16022,NORTH POINT PKY@3180,34.074163,-84.257003
902955,16023,NORTH POINT PKY @ PRESTON RIDGE RD,34.071684,-84.256765
902920,16024,NORTH POINT PKY @ 3180,34.074037,-84.257706
906734,16026,NORTH POINT PKY @ 4501,34.060519,-84.265895
902921,16028,NORTH POINT PKY @ 4125,34.06661,-84.262158
902922,16030,NORTH POINT PKY @ OLD MILTON PKY,34.068411,-84.260748
903071,20012,ATLANTA ST @ OAK ST,34.01968,-84.361641
903098,20014,ALPHARETTA ST@ELIZABETH WAY,34.024141,-84.360722
903099,20016,ALPHARETTA ST@NORCROSS ST,34.025188,-84.360458
903100,20018,ALPHARETTA ST@CHERRY ST,34.027241,-84.358696
903101,20020,ALPHARETTA ST @ WOODSTOCK ST,34.029003,-84.356476
903072,20024,ALPHARETTA ST @ THOMAS DR,34.03132,-84.352794
903073,20026,ALPHARETTA ST@1207,34.032179,-84.351299
903074,20028,ALPHARETTA ST@ALPINE DR,34.034595,-84.346985
903075,20032,ALPHARETTA ST @ STRICKLAND RD,34.031257,-84.353143
903102,20036,ALPHARETTA ST@WOODSTOCK ST,34.029726,-84.355608
903103,20038,ALPHARETTA ST @ CHERRY ST,34.028401,-84.357669
903104,20040,ALPHARETTA ST@GREEN ST,34.026137,-84.359828
903105,20042,ALPHARETTA ST@ELIZABETH WAY,34.024697,-84.36072
903166,20044,ATLANTA ST @ OXBO RD,34.016864,-84.362649
902622,20046,ATLANTA ST @ OAK ST,34.020123,-84.361767
902623,20050,ATLANTA ST@HILL ST,34.021609,-84.361604
902719,20052,MAIN ST@PARK ST,33.524877,-84.664778
902720,20054,ALPHARETTA ST@THOMAS DR,34.030607,-84.353944
902721,21009,MANSELL RD@901,34.042802,-84.335055
902722,21010,MANSELL RD@EAGLES CREST VILLAGE LN,34.042757,-84.338995
902624,21011,MANSELL RD@WARSAW RD,34.042573,-84.329835
902625,21012,MANSELL RD@OLD ROSWELL RD,34.041443,-84.324275
902626,21014,MANSELL RD@DUKE DR,34.040092,-84.319005
902723,21023,MANSELL RD@WESTSIDE PKY,34.040324,-84.319267
902724,21025,MANSELL RD@WARSAW RD,34.042695,-84.329196
902628,21029,MANSELL RD@EAGLES CREST VILLAGE LN,34.042829,-84.338711
902787,21038,HOLCOMB BRIDGE RD @ ALPHARETTA ST,34.035876,-84.342867
902788,21042,HOLCOMB BRIDGE RD@ALPHARETTA ST,34.034755,-84.34199
902789,21044,HOLCOMB BRIDGE RD@GRIMES BRIDGE RD,34.032834,-84.341197
902832,21046,HOLCOMB BRIDGE RD@OLD ROSWELL RD,34.032943,-84.34081
902856,21048,HOLCOMB BRIDGE RD@OLD ROSWELL RD,34.031756,-84.339365
902857,21050,HOLCOMB BRIDGE RD@MARKET PL,34.031295,-84.339352
902858,21052,HOLCOMB BRIDGE RD@MARKET PL,34.030893,-84.338273
902790,21054,HOLCOMB BRIDGE RD@MARKET PL,34.030606,-84.338436
902791,21056,HOLCOMB BRIDGE RD @ WARSAW RD,34.028137,-84.335359
902792,21058,HOLCOMB BRIDGE RD @ WARSAW RD,34.028164,-84.33501
902829,21060,HOLCOMB BRIDGE RD @ RIVERWOOD LN,34.025972,-84.332631
902830,21062,HOLCOMB BRIDGE RD @ OLD HOLCOMB BRIDGE RD,34.025936,-84.332173
902831,21064,HOLCOMB BRIDGE RD @ DOGWOOD RD,34.023851,-84.329599
902962,21066,HOLCOMB BRIDGE RD @ DOGWOOD RD,34.023663,-84.329729
902963,21070,ALPHARETTA ST@MANSELL CIR,34.03456,-84.346412
902965,21074,ALPHARETTA ST @ COMMERCE PKY,34.03909,-84.34285
902923,21076,ALPHARETTA ST @ 10761,34.041012,-84.341972
902924,21079,ALPHARETTA ST@MANSELL RD,34.042066,-84.341461
902925,21080,ALPHARETTA HWY@HOUZE WAY,34.046247,-84.339955
902926,21082,ALPHARETTA HWY@MANSELL RD,34.043225,-84.341303
902966,21084,ALPHARETTA ST@1240,34.032394,-84.351059
902967,21096,ALPHARETTA ST @ HOUZE RD,34.038247,-84.343293
902968,21097,NORTH POINT PKWY @ NORTH POINT CT,34.047978,-84.288581
902927,21098,HOLCOMB BRIDGE RD @ OLD DOGWOOD RD,34.022482,-84.326959
902928,21102,HAYNES BRIDGE RD @ NORTH POINT PKWY,34.049061,-84.28672
903114,21104,HAYNES BRIDGE RD @ NORTH POINT DR,34.050373,-84.286285
903079,21112,HOLCOMB BRIDGE RD@GRIMES BRIDGE RD,34.033917,-84.34207
903080,21120,ALPHARETTA HWY @ 10885,34.045088,-84.340153
903116,21122,MANSELL RD@KINGSWOOD PL,34.039993,-84.321853
903117,21124,MANSELL RD @ 980,34.042966,-84.332759
903118,21126,MANSELL RD@WARSAW RD,34.042668,-84.33128
903119,21128,MANSELL RD@DAVIS DR,34.040315,-84.315295
903120,21950,MANSELL PARK & RIDE - ON RAMP,34.03815,-84.313769
903177,21951,MANSELL PARK & RIDE - IN LOT,34.038643,-84.313173
903078,21954,ALPHARETTA ST @ 10730,34.041281,-84.342017
903113,21960,MANSELL RD@950,34.042865,-84.336136
902633,21962,MANSELL RD@OLD ROSWELL RD,34.042445,-84.325824
902634,21964,MANSELL RD@KINGSWOOD PL,34.040244,-84.32182
902635,21966,MANSELL RD@COLONIAL CTR PKWY,34.042633,-84.327472
902636,22016,NORTH POINT PKWY @ MANSELL RD,34.039212,-84.305718
902682,22018,NORTH POINT PKWY @ 7731,34.039656,-84.305796
902732,22022,NORTH POINT PKWY @ 7301,34.042031,-84.303728
902733,22024,NORTH POINT PKWY @ 7231,34.04309,-84.302143
902735,22028,NORTH POINT PKWY @ 6440,34.045281,-84.293695
902841,22030,NORTH POINT PWKY @ 6499,34.045385,-84.29407
902801,22042,NORTH POINT PKWY @ ENCORE PKWY,34.044106,-84.299527
902802,22044,NORTH POINT PKWY @ ENCORE PKWY,34.043757,-84.299767
902872,22060,NORTH POINT PKWY @ MANSELL RD,34.0383,-84.30651
902804,22068,NORTH POINT PKWY @ 7300,34.042041,-84.303247
902929,26002,ROSWELL RD@HOPE RD,33.989597,-84.351974
902930,26004,ROSWELL RD @ HUNTCLIFF NE,33.992786,-84.351707
902931,26006,ROSWELL RD @ 8740,33.994862,-84.351372
902932,26007,ROSWELL RD@RIVER PKY,34.001514,-84.35046
902983,26010,ROSWELL RD@ROBERTS DR,34.002901,-84.350504
902984,26011,ROSWELL RD@DUNWOODY PL,33.999743,-84.350622
902985,26018,ROSWELL RD@8775,33.998459,-84.350533
902933,26020,ROSWELL RD@9040,34.000168,-84.350372
903050,26022,ROSWELL RD@RIVER PKWY,34.001392,-84.350327
903051,26025,ROSWELL RD@ROBERTS DR,34.002964,-84.350417
903129,26026,ATLANTA ST@RIVERSIDE RD,34.005827,-84.35068
903130,26029,ATLANTA ST@CHATTAHOOCHEE CIR,34.007536,-84.353101
903131,26030,ATLANTA ST@WARM SPRINGS CIR,34.00877,-84.35729
903132,26032,ATLANTA ST@JONES DR,34.008653,-84.359842
903052,26034,ATLANTA ST@KING ST,34.012419,-84.362778
903053,26036,ATLANTA ST@MILL ST,34.014088,-84.362854
903081,26040,ATLANTA ST@MAPLE ST,34.016396,-84.362694
903082,26044,ATLANTA ST@WARM SPRINGS CIR,34.008698,-84.357443
903133,26045,ATLANTA ST@CHATTAHOOCHEE CIR,34.007196,-84.352782
903134,26046,ATLANTA ST @ JONES DR,34.008608,-84.360006
903135,26047,ATLANTA ST@AZALEA DR,34.006087,-84.350909
903136,26048,ATLANTA ST@426,34.009771,-84.361282
903141,26050,ATLANTA ST@CHATTAHOOCHEE ST,34.01181,-84.3628
903142,26052,DUNWOODY PL @ 8601,33.990562,-84.343491
902651,26056,DUNWOODY PL @ 8725,33.995324,-84.349044
902645,26072,DUNWOODY PL @ N RIVER DR,33.993336,-84.347317
902692,26080,ROSWELL RD@HUNTINGTON PLACE DR,33.992441,-84.351526
902694,26084,ATLANTA ST @ SLOAN ST,34.015363,-84.362834
902695,26086,DUNWOODY PL @ ROSWELL RD,33.995815,-84.34964
902744,27002,DUNWOODY PL @ ROBERTS DR,33.989414,-84.341888
902745,27004,DUNWOODY PL @ ROBERTS DR,33.990268,-84.343129
906297,27005,DUNWOODY PL @ HIGHTOWER TRL,33.986244,-84.341629
906298,27008,DUNWOODY PL @ 8700,33.991574,-84.345026
906282,27010,DUNWOODY PL @ 8800,33.991476,-84.34507
906283,27012,DUNWOODY PL @ CEDAR RUN,33.992817,-84.346627
906284,27014,DUNWOODY PL @ HOPE RD,33.993077,-84.347099
906299,31002,JETT FERRY RD@DUNWOODY CLUB DR,33.960004,-84.302486
906300,32002,ROSWELL RD NE@TROWBRIDGE RD,33.959381,-84.365227
906301,32004,ROSWELL RD@7546,33.963367,-84.364922
906302,32006,ROSWELL RD @ 7741,33.966234,-84.362786
906286,32012,ROSWELL RD @ HAMPTON DE,33.973406,-84.357112
906287,32014,ROSWELL RD@BRANTLEY RD,33.974342,-84.355011
906288,32016,ROSWELL RD @ PITTS RD,33.974982,-84.353657
906357,32017,ROSWELL RD @ NORTHRIDGE CROSSING DR,33.977017,-84.351561
906358,32020,ROSWELL RD@8215,33.978828,-84.350815
906359,32022,ROSWELL RD@NORTHRIDGE RD,33.981735,-84.350197
906321,32025,ROSWELL RD@NORTHRIDGE PKY,33.985492,-84.350498
906352,32026,ROSWELL RD@HIGHTOWER TRL,33.988584,-84.351328
906353,32028,ROSWELL RD @ TROWBRIDGE RD,33.959077,-84.365335
906354,32032,ROSWELL RD@7730,33.965767,-84.363429
906355,32034,ROSWELL RD @ MORGAN FALLS RD,33.968905,-84.361109
906322,32036,ROSWELL RD@7840,33.970417,-84.359618
906323,32038,ROSWELL RD @ 7878,33.971504,-84.358749
906324,32040,ROSWELL RD@GROGANS FERRY RD,33.973217,-84.357605
906325,32042,ROSWELL RD@BRANTLEY RD,33.974358,-84.355637
906356,32044,ROSWELL RD@ISON RD,33.975224,-84.353232
903061,32045,ROSWELL RD@NORTHRIDGE CROSSING DR,33.976992,-84.351929
903065,32046,ROSWELL RD@8215,33.97891,-84.351072
903067,32050,ROSWELL RD@NORTHRIDGE PKY,33.984066,-84.350677
903068,32051,ROSWELL RD@8450,33.985727,-84.350793
903145,32053,ROSWELL RD@HIGHTOWER TRL,33.987788,-84.351409
903149,32070,ROSWELL RD@MORGAN FALLS RD,33.968332,-84.361253
903150,32072,ROSWELL RD@7840,33.969747,-84.360081
902656,32080,ROSWELL RD@7525,33.960849,-84.365506
902713,32082,ROSWELL RD @ NORTHRIDGE RD,33.981056,-84.350434
902658,33016,DUNWOODY PL @ NORTHRIDGE PKY,33.984747,-84.341274
902659,33017,DUNWOODY PL @ HIGHTOWER TRL,33.986179,-84.341481
902660,33018,DUNWOODY PL @ NORTHRIDGE RD,33.982745,-84.342808
902782,35010,ROSWELL RD @ 7865,33.97147,-84.358452
902783,35016,ROSWELL RD NE @ ALDERWOOD PL,33.939001,-84.376462
902849,35018,ROSWELL RD NE@6851,33.942314,-84.372871
902850,35020,ROSWELL RD @ CIMARRON PKWY,33.962807,-84.365623
902851,35022,ROSWELL RD NE@SPALDING DR NE,33.945827,-84.370956
902784,35024,ROSWELL RD NE@7070,33.948154,-84.370522
902785,35027,ROSWELL RD NE@7140,33.949751,-84.369406
902786,35031,ROSWELL RD NE@7155,33.950971,-84.368442
902812,35033,ROSWELL RD NE@7155,33.950723,-84.36817
902852,35034,ROSWELL RD NE @ DALRYMPLE RD NE,33.955399,-84.364582
902853,35038,ROSWELL RD NE @ DALRYMPLE RD NE,33.956008,-84.364386
902854,35040,ROSWELL RD NE@7447,33.956905,-84.364632
902814,35046,ROSWELL RD NE@6940,33.944667,-84.371747
902815,35047,ROSWELL RD NE@6900,33.943185,-84.372831
902958,35048,ROSWELL RD NE@SPALDING DR NE,33.946217,-84.371246
902995,35060,ROSWELL RD NE @ 6500 ,33.933925,-84.38
902961,35066,ROSWELL RD NE @ ABERNATHY RD ,33.936055,-84.379108
903107,35129,ROSWELL RD NE @ 7256,33.953271,-84.366776
903109,35132,ROSWELL RD NE@7256,33.95277,-84.366646
903194,35134,ROSWELL RD NE@7070,33.948387,-84.371056
903195,35135,ROSWELL RD NE@7100,33.949427,-84.370188
903111,35144,ROSWELL RD NE @ ALDERWOOD PL,33.938651,-84.377007
903112,35146,ROSWELL RD NE @ ABERNATHY RD NW,33.936011,-84.378901
902725,35900,NORTH SPRINGS STATION,33.945416,-84.357235
902726,36002,ASHFORD DUNWOODY RD@ASHFORD PKY,33.933964,-84.33758
902727,36003,ASHFORD DUNWOODY RD @ ASHFORD CENTER,33.939811,-84.338063
902728,36004,ASHFORD DUNWOODY RD@VALLEY VIEW RD,33.936201,-84.337755
902668,36005,ASHFORD DUNWOODY RD @ ASHFORD CENTER PKY,33.938949,-84.338213
902669,36006,ASHFORD DUNWOODY RD@ASHFORD CTR N,33.941293,-84.338235
902864,36038,CHAMBLEE DUNWOODY RD @ MT VERNON RD,33.94609,-84.334411
902865,36040,CHAMBLEE DUNWOODY RD @ NANDINA LN,33.947692,-84.335512
902866,36050,CHAMBLEE DUNWOODY RD @ DUNWOODY VILLAGE PKWY,33.949327,-84.336322
903004,36088,ASHFORD DUNWOODY RD @ ASHFORD CTR N,33.941633,-84.338323
903005,36090,ASHFORD DUNWOODY RD@ASHFORD GABLES,33.936667,-84.338028
903006,36092,ASHFORD DUNWOODY RD@ASHWOOD PKWY,33.933678,-84.337809
902973,36096,ASHFORD DUNWOODY RD@MEADOW LANE RD,33.931611,-84.33758
902974,36098,ASHFORD DUNWOODY RD@MT VERNON RD,33.94277,-84.337898
902970,36112,DUNWOODY VILLAGE PKY @ MT VERNON RD,33.947607,-84.331618
902971,36114,DUNWOODY VILLAGE PKY @ 1424,33.949367,-84.33265
903121,37002,N PEACHTREE RD @ KINGS POINT DR,33.9308,-84.294692
903122,37003,MT VERNON RD@TILLY MILL RD,33.955369,-84.305518
903123,37004,N PEACHTREE RD@KINGS POINT DR,33.930972,-84.294791
903124,37005,MT VERNON RD@MEADOW LAKE DR,33.95243,-84.31196
903204,37006,N PEACHTREE RD @ BROOK RUN AVE,33.934723,-84.294998
903205,37007,MT VERNON RD@MEADOW LAKE DR,33.95264,-84.31175
903206,37008,TILLY MILL RD @ CHERRING DR,33.93894,-84.297082
903207,37009,MT VERNON RD@MANHASSET DR,33.950576,-84.319323
903125,37010,TILLY MILL RD@CHERRING DR,33.938991,-84.297033
903126,37011,MT VERNON RD@VERMACK RD,33.95026,-84.31968
903127,37012,TILLY MILL RD@DARTFORD DR,33.944782,-84.301552
903128,37013,MT VERNON RD@VERNON RIDGE DR,33.94779,-84.32686
903208,37014,TILLY MILL RD @ TILLINGHAM CT,33.942707,-84.299725
902683,37016,TILLY MILL RD@STEPHENS WALK,33.946366,-84.302981
902684,37017,MT VERNON RD@DUNWOODY VILLAGE PKWY,33.946958,-84.33149
902685,37018,TILLY MILL RD@DARTFORD DR,33.944939,-84.302193
902686,37019,MT VERNON RD@STRATHAM DR,33.95162,-84.3147
902736,37020,TILLY MILL RD @ STEPHENS WALK,33.946676,-84.303415
902737,37021,MT VERNON RD@STRATHAM DR,33.951781,-84.31463
902738,37022,TILLY MILL RD@SANDELL DR,33.952557,-84.305428
